head,relation,tail
P0000,belongs_to_brand,B028
P0000,belongs_to_category,C156
P0001,belongs_to_brand,B106
P0001,belongs_to_category,C040
P0002,belongs_to_brand,B110
P0002,belongs_to_category,C075
P0003,belongs_to_brand,B101
P0003,belongs_to_category,C021
P0004,belongs_to_brand,B225
P0004,belongs_to_category,C084
P0005,belongs_to_brand,B243
P0005,belongs_to_category,C010
P0006,belongs_to_brand,B198
P0006,belongs_to_category,C102
P0007,belongs_to_brand,B127
P0007,belongs_to_category,C033
P0008,belongs_to_brand,B107
P0008,belongs_to_category,C164
P0009,belongs_to_brand,B269
P0009,belongs_to_category,C114
P0010,belongs_to_brand,B037
P0010,belongs_to_category,C178
P0011,belongs_to_brand,B026
P0011,belongs_to_category,C027
P0012,belongs_to_brand,B204
P0012,belongs_to_category,C060
P0013,belongs_to_brand,B194
P0013,belongs_to_category,C123
P0014,belongs_to_brand,B103
P0014,belongs_to_category,C148
P0015,belongs_to_brand,B067
P0015,belongs_to_category,C184
P0016,belongs_to_brand,B111
P0016,belongs_to_category,C122
P0017,belongs_to_brand,B215
P0017,belongs_to_category,C150
P0018,belongs_to_brand,B231
P0018,belongs_to_category,C084
P0019,belongs_to_brand,B015
P0019,belongs_to_category,C033
P0020,belongs_to_brand,B135
P0020,belongs_to_category,C085
P0021,belongs_to_brand,B275
P0021,belongs_to_category,C041
P0022,belongs_to_brand,B104
P0022,belongs_to_category,C076
P0023,belongs_to_brand,B228
P0023,belongs_to_category,C096
P0024,belongs_to_brand,B120
P0024,belongs_to_category,C030
P0025,belongs_to_brand,B249
P0025,belongs_to_category,C099
P0026,belongs_to_brand,B298
P0026,belongs_to_category,C129
P0027,belongs_to_brand,B245
P0027,belongs_to_category,C132
P0028,belongs_to_brand,B289
P0028,belongs_to_category,C059
P0029,belongs_to_brand,B276
P0029,belongs_to_category,C031
P0030,belongs_to_brand,B299
P0030,belongs_to_category,C082
P0031,belongs_to_brand,B027
P0031,belongs_to_category,C156
P0032,belongs_to_brand,B133
P0032,belongs_to_category,C074
P0033,belongs_to_brand,B234
P0033,belongs_to_category,C047
P0034,belongs_to_brand,B185
P0034,belongs_to_category,C035
P0035,belongs_to_brand,B077
P0035,belongs_to_category,C087
P0036,belongs_to_brand,B031
P0036,belongs_to_category,C016
P0037,belongs_to_brand,B235
P0037,belongs_to_category,C064
P0038,belongs_to_brand,B243
P0038,belongs_to_category,C140
P0039,belongs_to_brand,B162
P0039,belongs_to_category,C116
P0040,belongs_to_brand,B063
